idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,ttl_exp,tenure
2955,36,White,Single,Has been married,14,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,7.1497569,35,12.352564,11.166667
2957,40,White,Married,Has been married,11,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Operatives,Nonunion,2.4154589,70,5.8461537,
2958,41,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,Nonunion,4.0257649,30,12.448718,1.8333334
2960,45,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,6.3607068,40,21.160255,18.5
2967,45,White,Married,Has been married,13,Not college grad,South,Not SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,10.837358,40,18.76923,5.9166665
2969,36,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Business/Repair svc,Professional/Technical,Nonunion,6.0386477,20,13.923077,.083333336
2971,42,White,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Construction,Sales,Nonunion,4.8953285,44,13.75,2.5833333
2972,36,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,5.217391,40,12.5,6.3333335
2973,35,White,Married,Has been married,13,Not college grad,South,Not SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,5.4186792,40,13.679487,3.6666667
2976,35,White,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,3.220612,40,2.7051282,1.25
2977,40,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Finance/Ins/Real estate,Clerical/Unskilled,,33.498402,48,10.884615,.91666669
2978,39,White,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,5.8615127,40,16.634615,4.6666665
2979,38,White,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,3.6231885,40,17.102564,3.3333333
2984,44,White,Single,Has been married,9,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Union,8.8727846,70,18.653847,1.4166666
2985,44,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,4.9516888,36,8.8846159,7.8333335
2988,35,White,Married,Has been married,18,College grad,South,Not SMSA,Not central city,Professional services,Other,Union,9.29146,40,11.673078,3.9166667
2998,35,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Nonunion,4.2270532,8,4.8269229,1.75
2999,37,White,Married,Has been married,13,Not college grad,South,SMSA,Not central city,Construction,Sales,Nonunion,8.0515299,40,9.5769234,4.8333335
3000,42,White,Single,Has been married,12,Not college grad,South,SMSA,Not central city,Manufacturing,Professional/Technical,Nonunion,5.4347825,48,17.346153,17.333334
3001,41,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Wholesale/Retail trade,Operatives,Union,7.7455678,40,17.788462,14.166667
3004,38,Black,Single,Has been married,8,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,4.8309178,40,14.75641,8.416667
3008,39,Black,Married,Has been married,9,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,3.1400964,40,15,10.916667
3015,37,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Public administration,Sales,Nonunion,10.032206,40,18.75,18.75
3016,38,Black,Married,Has been married,16,College grad,South,SMSA,Not central city,Manufacturing,Craftsmen,Nonunion,14.710137,40,13.942307,10.416667
3020,35,White,Single,Never married,16,College grad,South,Not SMSA,Not central city,Professional services,Sales,Nonunion,10.619963,35,14.865385,10.916667
3023,39,White,Married,Has been married,18,College grad,South,Not SMSA,Not central city,Professional services,Sales,Nonunion,6.3848605,40,8.6346149,2.9166667
3026,36,Black,Single,Has been married,10,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,2.6972613,40,18.076923,0
3027,35,Black,Single,Never married,17,College grad,South,Not SMSA,Not central city,Professional services,Sales,,2.9388082,20,6.5384617,
3028,41,Black,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Sales,Nonunion,2.7858286,40,13.442308,9.833333
3035,42,White,Married,Has been married,17,College grad,South,SMSA,Central city,Professional services,Other,Nonunion,5.2656984,60,7.8653846,7.75
3036,39,White,Married,Has been married,18,College grad,South,SMSA,Not central city,Professional services,Other,Nonunion,12.777775,40,12.788462,8.75
3037,35,White,Married,Has been married,18,College grad,South,SMSA,Central city,Professional services,Other,Nonunion,4.64573,1,6.0128207,.66666669
3038,39,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,,5.8528428,20,6.75,.41666666
3040,39,Black,Single,Has been married,10,Not college grad,South,SMSA,Not central city,Manufacturing,Service,,3.5024142,40,15.429487,15
3042,39,Black,Single,Never married,12,Not college grad,South,SMSA,Not central city,Manufacturing,Operatives,Nonunion,4.8309178,40,16.512819,14
3043,37,Black,Single,Never married,12,Not college grad,South,SMSA,Not central city,Manufacturing,Professional/Technical,Union,16.476761,40,19.423077,8.5
3044,44,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Manufacturing,Operatives,Nonunion,6.7713332,48,22.512819,22.5
3045,43,White,Married,Has been married,11,Not college grad,South,SMSA,Not central city,Manufacturing,Operatives,Nonunion,5.5394502,48,19.583332,5.5
3046,44,Black,Single,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Sales,,4.4137006,35,12.519231,9.416667
3047,35,Black,Single,Never married,14,Not college grad,South,SMSA,Not central city,Public administration,Sales,Nonunion,8.9049911,40,13.916667,13.916667
3048,38,Black,Single,Has been married,11,Not college grad,South,SMSA,Not central city,Wholesale/Retail trade,Operatives,Union,2.6972613,40,11.788462,9.833333
3049,39,White,Married,Has been married,16,College grad,South,SMSA,Central city,Professional services,Professional/Technical,Nonunion,11.030594,33,14.961538,3.0833333
3050,42,White,Married,Has been married,10,Not college grad,South,SMSA,Not central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,5.5394502,40,16.256411,0
3052,39,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Sales,Nonunion,4.64573,40,12.326923,2.8333333
3056,45,Black,Single,Has been married,9,Not college grad,South,SMSA,Central city,Manufacturing,Sales,Union,14.121402,45,17.326923,0
3058,37,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Personal services,Sales,Nonunion,5.9178729,40,11.557693,1.3333334
3059,40,White,Married,Has been married,17,College grad,South,SMSA,Central city,Ag/Forestry/Fisheries,Sales,Nonunion,10.628017,7,13.929487,1.3333334
3060,42,Black,Married,Has been married,8,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,Nonunion,2.777777,30,10.25,10.25
3061,42,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Professional services,Other,Nonunion,7.0048285,42,9.2435894,6.8333335
3062,35,White,Single,Has been married,12,Not college grad,South,SMSA,Central city,Professional services,Sales,Nonunion,5.8373594,40,17.653845,1.3333334
3063,36,White,Married,Has been married,18,College grad,South,Not SMSA,Not central city,Professional services,Other,Nonunion,6.5780983,40,10.384615,.91666669
3065,34,White,Single,Never married,13,Not college grad,South,SMSA,Not central city,Manufacturing,Craftsmen,Nonunion,5.0644102,55,12.512821,5.8333335
3066,44,White,Married,Has been married,16,College grad,South,Not SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,10.257647,40,15.75,11.416667
3069,36,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Finance/Ins/Real estate,Clerical/Unskilled,,5.9722881,28,9.4807692,1.5833334
3070,35,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Business/Repair svc,Sales,,3.7189493,20,14.115384,2.5833333
3072,41,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Sales,,2.6282961,18,14.442307,2.0833333
3073,36,White,Married,Has been married,7,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,4.0660219,37,11.429487,5.1666665
3078,45,Black,Married,Has been married,17,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Union,16.497578,35,12.416667,8.416667
3079,35,Black,Single,Never married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Sales,Nonunion,3.2930727,40,13.762821,13.75
3090,38,Black,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Sales,Nonunion,2.8846145,22,6.7692304,.16666667
3095,38,Black,Married,Has been married,6,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,Nonunion,4.6215763,40,13.442308,3.4166667
3096,35,Black,Married,Has been married,11,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,Nonunion,3.9855046,35,10.166667,8.666667
3097,42,Black,Married,Has been married,8,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,Nonunion,2.3832521,37,6.9358974,4
3098,37,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Finance/Ins/Real estate,Sales,,4.2224078,24,11.365385,2.5
3099,44,Black,Single,Has been married,8,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,Nonunion,3.679549,35,9.5576925,3.8333333
3106,39,Black,Single,Has been married,12,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Laborers,Nonunion,4.0257649,30,15.782052,10.333333
3107,36,Black,Single,Never married,9,Not college grad,South,SMSA,Central city,Professional services,Sales,Nonunion,5.0644102,40,11,11
3108,39,Black,Married,Has been married,18,College grad,South,SMSA,Central city,Professional services,Other,Union,8.5990286,45,16.833334,16.833334
3111,35,Black,Single,Never married,12,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Sales,,4.3227663,40,2.25,.33333334
3114,43,Black,Single,Never married,14,Not college grad,Not south,SMSA,Central city,Public administration,Sales,Union,9.0660181,40,15.519231,6.5833335
3115,41,Black,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Manufacturing,Craftsmen,Nonunion,3.7439594,40,18.621794,18.333334
3116,39,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,,7.5250835,65,5.5961537,2.1666667
3118,43,White,Married,Has been married,9,Not college grad,South,SMSA,Not central city,Manufacturing,Operatives,Union,7.7133608,40,18.685896,18.666666
3119,41,White,Married,Has been married,13,Not college grad,South,SMSA,Not central city,Manufacturing,Professional/Technical,Nonunion,9.7584505,40,27.192305,8.333333
3120,41,Black,Single,Has been married,9,Not college grad,South,Not SMSA,Not central city,Entertainment/Rec svc,Laborers,Nonunion,3.220612,40,5.1538463,.25
3122,44,Black,Married,Has been married,18,College grad,South,Not SMSA,Not central city,Professional services,Other,Nonunion,8.5185146,40,21.416666,21.416666
3127,38,White,Married,Has been married,18,College grad,South,SMSA,Central city,Professional services,Other,Nonunion,10.668277,45,19.512819,2.9166667
3132,35,White,Single,Has been married,16,College grad,South,Not SMSA,Not central city,Entertainment/Rec svc,Managers/Admin,Nonunion,9.4444418,41,17,17
3133,36,White,Married,Has been married,14,Not college grad,South,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,8.2367105,40,17.79487,3.5
3135,39,Black,Married,Has been married,12,Not college grad,South,SMSA,Central city,Manufacturing,Sales,Nonunion,6.2238321,40,14,14
3138,45,White,Married,Has been married,16,College grad,South,SMSA,Central city,Professional services,Professional/Technical,Union,4.5169058,60,10.416667,10.416667
3144,37,Black,Single,Never married,12,Not college grad,South,SMSA,Central city,Professional services,Laborers,Nonunion,5.0322061,32,14.762821,14.666667
3145,36,Black,Married,Has been married,12,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Managers/Admin,Nonunion,4.8389683,40,15.00641,15
3148,37,Black,Single,Has been married,12,Not college grad,South,SMSA,Central city,Manufacturing,Operatives,Nonunion,2.8180354,40,8.9487181,5.3333335
3151,41,Black,Single,Never married,12,Not college grad,South,SMSA,Central city,Personal services,Laborers,Nonunion,4.6940408,42,17.121794,3.4166667
3156,42,Black,Single,Has been married,12,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,4.64573,40,10,3.75
3157,40,Black,Single,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Sales,Nonunion,5.0483069,40,18.403847,17.166666
3158,38,Black,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,Nonunion,4.0257649,40,9.8653851,1.0833334
3159,43,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,,Other,Union,13.019322,40,12.019231,5.4166665
3164,35,Black,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Other,Nonunion,11.223828,40,13.647436,11.833333
3166,44,Black,Married,Has been married,10,Not college grad,South,SMSA,Not central city,Professional services,Laborers,Nonunion,2.9388082,12,11.346154,0
3169,35,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Personal services,Laborers,Nonunion,5.4428329,37,14.576923,4
3170,39,White,Single,Has been married,9,Not college grad,South,Not SMSA,Not central city,Personal services,Laborers,Nonunion,3.6634455,55,14.288461,2.8333333
3171,40,White,Single,Never married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Craftsmen,Nonunion,6.8438005,43,17.923077,12.833333
3172,40,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,15.48309,35,19.083334,19.083334
3173,43,White,Single,Has been married,10,Not college grad,South,SMSA,Not central city,Manufacturing,Operatives,Nonunion,5.9903369,40,8.9102564,8.5
3174,40,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Business/Repair svc,Laborers,,4.1806021,20,13.076923,1.6666666
3175,40,White,Single,Never married,16,College grad,Not south,SMSA,Central city,Public administration,Professional/Technical,Nonunion,11.030594,40,15.647436,13.666667
3179,34,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,8.0515299,40,15.012821,4.0833335
3181,36,White,Married,Has been married,17,College grad,South,Not SMSA,Not central city,Professional services,Other,Nonunion,11.062799,35,12.557693,9.833333
3182,43,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Sales,Nonunion,6.0386477,40,20.378204,16.333334
3185,35,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,,7.3578558,40,9.2115374,.75
3186,37,Black,Married,Has been married,12,Not college grad,South,SMSA,Central city,Manufacturing,Operatives,Union,6.5378385,45,13.134616,11.166667
3188,42,Black,Single,Never married,13,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Union,3.4219003,40,16.967947,10.333333
3189,37,Black,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,6.6264057,48,11.179488,3.4166667
3191,35,Black,Married,Has been married,9,Not college grad,South,SMSA,Central city,Manufacturing,Operatives,Nonunion,7.2463775,40,14.46795,11.916667
3195,44,Black,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,4.790658,42,18.673077,16.166666
3197,37,Black,Married,Has been married,11,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Laborers,,2.090301,24,13.089744,10.333333
3198,40,Black,Married,Has been married,9,Not college grad,South,Not SMSA,Not central city,Personal services,Transport,Nonunion,3.5265677,8,9.75,.91666669
3199,37,Black,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Personal services,Transport,Nonunion,1.1513683,35,3.5,
3200,40,Black,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,6.1996756,15,7.6923079,2.5
3202,38,White,Single,Has been married,15,Not college grad,South,Not SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,8.5785904,45,15.378205,.91666669
3203,38,White,Married,Has been married,11,Not college grad,South,Not SMSA,Not central city,Manufacturing,Sales,Nonunion,5.4347825,48,13.788462,12.416667
3204,45,White,Single,Has been married,18,College grad,South,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,11.610305,40,17.75,17.75
3205,38,Black,Married,Has been married,9,Not college grad,South,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,4.2270532,40,14.108974,4.75
3208,40,Black,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Laborers,Nonunion,5.2334948,40,13.429487,13.416667
3209,36,Black,Single,Never married,12,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Laborers,Nonunion,2.4154589,25,8.9807692,1.75
3211,36,Black,Married,Has been married,8,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Laborers,Nonunion,4.1867933,43,10.102564,2.9166667
3212,42,Black,Married,Has been married,10,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Union,4.0257649,30,13.730769,8.5
3214,42,Black,Single,Never married,12,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Sales,Nonunion,5.072463,40,16.865385,
3215,44,Black,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Personal services,Sales,Nonunion,3.8879578,20,8.916667,8.916667
3217,37,Black,Single,Has been married,13,Not college grad,South,SMSA,Central city,Transport/Comm/Utility,Operatives,Union,8.1320438,20,6.4423079,3
3218,41,Black,Single,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Laborers,Nonunion,5.3462152,40,16.788462,8.833333
3219,38,White,Married,Has been married,18,College grad,Not south,SMSA,Central city,Professional services,Managers/Admin,Nonunion,11.771334,50,12.967948,5.1666665
3222,44,Black,Single,Never married,17,College grad,South,Not SMSA,Not central city,Professional services,Other,Nonunion,8.9371967,52,20.333334,20.333334
3227,39,Black,Single,Has been married,9,Not college grad,South,Not SMSA,Not central city,Personal services,Transport,,2.9264214,12,10.064102,2.75
3228,36,Black,Single,Never married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,Union,2.7375197,38,14.666667,14.666667
3229,44,White,Married,Has been married,10,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Laborers,Nonunion,2.8985493,40,2.3333335,.83333331
3231,40,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,Nonunion,2.9871168,30,9.833333,9.833333
3232,35,White,Married,Has been married,10,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,5.1610308,45,17.083334,12.583333
3235,43,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,7.801928,40,17.346153,16.833334
3236,43,Black,Married,Has been married,10,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,2.8180354,40,14.519231,7.3333335
3238,39,Black,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,,1.9309927,40,13.429485,2.5833333
3239,36,Black,Single,Has been married,11,Not college grad,South,Not SMSA,Not central city,Manufacturing,Operatives,Nonunion,3.5024142,40,8.3076925,1.0833334
3240,38,Black,Single,Never married,10,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Operatives,Nonunion,3.0193238,40,8.6730766,3.6666667
3243,35,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,6.1916251,40,16.97436,7.4166665
3245,34,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Professional services,Sales,Nonunion,2.8743958,35,8.6089745,2.6666667
3246,43,White,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,Nonunion,3.0756843,40,6.1987181,2.1666667
3247,41,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,3.6231885,23,9.0256405,.16666667
3248,45,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,3.0998378,25,4.3205128,1.5833334
3250,36,White,Single,Has been married,9,Not college grad,Not south,Not SMSA,Not central city,Professional services,Laborers,,40.198082,40,3.6666665,1.8333334
3252,40,White,Married,Has been married,9,Not college grad,South,Not SMSA,Not central city,Personal services,Transport,Nonunion,1.8921083,28,3.2435896,.91666669
3253,36,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Clerical/Unskilled,,40.198082,40,14.871796,3.4166667
3255,42,White,Married,Has been married,17,College grad,South,SMSA,Not central city,Professional services,Other,Union,7.0692425,50,14.423077,8.916667
3256,39,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Sales,Nonunion,4.1304326,45,11.692307,7.4166665
3258,38,White,Married,Has been married,16,College grad,South,SMSA,Central city,Professional services,Other,Union,6.8115935,50,17.442308,5.8333335
3259,35,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,6.9726219,40,7.0705128,4.5
3260,38,White,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,,,Nonunion,2.9264214,10,5.2884617,1.4166666
3263,36,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Professional services,Other,Nonunion,4.1143293,40,14.128205,11.666667
3264,36,White,Married,Has been married,10,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,Nonunion,4.3961344,40,9.8076916,7.3333335
3266,39,Black,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Professional services,Laborers,Nonunion,2.8582926,28,5.7692308,1.25
3268,40,Black,Married,Has been married,10,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Union,10.769998,40,7.1538463,2.6666667
3270,37,Black,Married,Has been married,13,Not college grad,South,SMSA,Not central city,Public administration,Sales,,5.1735396,40,14.782051,7
3276,42,Black,Married,Has been married,15,Not college grad,South,SMSA,Central city,Professional services,Professional/Technical,Nonunion,11.352655,40,19.057692,1.3333334
3277,36,Black,Single,Has been married,16,College grad,South,SMSA,Central city,Professional services,Sales,Nonunion,5.8051524,40,12.730769,.66666669
3278,39,Black,Single,Has been married,12,Not college grad,South,SMSA,Central city,Professional services,Laborers,Nonunion,4.5491123,40,9.5192308,1.8333334
3280,36,Black,Single,Has been married,11,Not college grad,South,SMSA,Central city,Public administration,Sales,Union,4.9758425,40,6.474359,2.25
3281,35,Black,Married,Has been married,16,College grad,South,SMSA,Not central city,Professional services,Other,,8.3612032,40,10.134615,.33333334
3282,34,Black,Single,Has been married,17,College grad,South,SMSA,Central city,Business/Repair svc,Sales,Union,4.0257649,50,5.7307692,1.6666666
3289,36,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Laborers,Nonunion,5.8051524,40,11.910257,7.5833335
3290,44,White,Single,Has been married,13,Not college grad,South,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,8.9452448,45,16.23077,3
3291,42,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Professional services,Other,Nonunion,10.152974,45,15.230769,13.833333
3292,40,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Public administration,Sales,Nonunion,6.1916251,40,17.76923,5.5
3293,37,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,5.6360707,40,16.833334,16.833334
3294,43,White,Married,Has been married,13,Not college grad,South,SMSA,Not central city,Professional services,Sales,Nonunion,5.6360707,20,13.423077,5.75
3300,41,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,12.584539,16,11.692307,3.5
3303,40,White,Married,Has been married,14,Not college grad,South,Not SMSA,Not central city,Construction,Sales,,4.1806021,48,6.6282053,.16666667
3305,45,White,Married,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Sales,Nonunion,7.0209293,15,16.5,1.4166666
3312,37,Black,Single,Has been married,12,Not college grad,South,SMSA,Central city,Professional services,Laborers,,3.1354513,40,8.9038458,4.9166665
3316,41,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Manufacturing,Sales,Nonunion,5.5797076,40,9.9230766,2.6666667
3317,44,White,Married,Has been married,15,Not college grad,South,SMSA,Not central city,Manufacturing,Sales,Nonunion,9.7826052,38,16.961538,16.333334
3318,42,White,Single,Has been married,17,College grad,South,SMSA,Central city,Professional services,Other,Nonunion,4.3317208,,16.307692,13.25
3319,36,White,Single,Has been married,12,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Clerical/Unskilled,,40.198082,40,9.9615383,.83333331
3320,34,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Professional services,Laborers,Nonunion,3.8879578,30,13.769231,3.6666667
3325,41,White,Married,Has been married,18,College grad,South,SMSA,Not central city,Professional services,Craftsmen,Nonunion,12.584539,40,17.538462,3.4166667
3326,40,Black,Married,Has been married,12,Not college grad,South,SMSA,Central city,Business/Repair svc,Sales,,2.6128764,32,14.429487,0
3328,41,Black,Single,Has been married,14,Not college grad,South,SMSA,Central city,Public administration,Professional/Technical,Nonunion,5.8373594,40,12.166666,3
3332,35,White,Single,Never married,12,Not college grad,South,SMSA,Not central city,Public administration,Sales,Nonunion,10.064413,40,11.76282,9.833333
3333,42,White,Married,Has been married,18,College grad,South,Not SMSA,Not central city,Professional services,Other,Nonunion,7.8099809,50,16.833334,16.833334
3337,44,White,Single,Has been married,12,Not college grad,South,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,2.4154589,50,10.769231,1.75
3342,39,Black,Single,Has been married,12,Not college grad,South,SMSA,Central city,Professional services,Laborers,Union,4.0740724,30,16.083334,16.083334
3344,41,Black,Single,Has been married,12,Not college grad,South,SMSA,Central city,Public administration,Professional/Technical,Union,6.7713332,40,18.198717,0
3346,41,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,7.0450883,40,8.6025648,2.5
3347,41,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Professional services,Sales,Nonunion,4.0257649,40,8.333333,8.333333
3353,44,White,Married,Has been married,18,College grad,South,SMSA,Not central city,Professional services,Other,Nonunion,10.837358,60,14.846154,14.833333
3355,39,White,Married,Has been married,18,College grad,South,SMSA,Not central city,Professional services,Other,Nonunion,10.450882,40,13.621796,12.833333
3356,40,White,Married,Has been married,12,Not college grad,South,Not SMSA,Not central city,Personal services,Clerical/Unskilled,,3.0017905,15,12.391026,.33333334
3357,41,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,11.50563,35,20.198717,20.083334
3359,43,Black,Married,Has been married,12,Not college grad,South,SMSA,Central city,Entertainment/Rec svc,Laborers,Nonunion,1.8115942,20,14.134615,3.4166667
3362,40,Black,Single,Never married,12,Not college grad,South,SMSA,Central city,Wholesale/Retail trade,Laborers,Nonunion,4.8520045,35,13.423077,6.6666665
3366,44,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,7.2463775,40,10.826923,9.166667
3368,44,White,Single,Has been married,12,Not college grad,South,SMSA,Not central city,Manufacturing,Craftsmen,Nonunion,5.2334948,50,11.826923,3.6666667
3372,42,White,Single,Has been married,13,Not college grad,South,SMSA,Not central city,Entertainment/Rec svc,Service,Nonunion,4.2270532,40,9.6346149,1.5833334
3374,44,White,Married,Has been married,12,Not college grad,South,SMSA,Central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,8.2608652,45,19.192308,16.083334
3376,35,Black,Married,Has been married,18,College grad,South,SMSA,Not central city,Professional services,Other,Union,5.6119142,53,7.3589745,5.9166665
3378,42,Black,Married,Has been married,8,Not college grad,South,SMSA,Not central city,Wholesale/Retail trade,Operatives,Nonunion,2.6972613,30,4.0384617,.083333336
